Title,Condition,Buy Price,Author,Publisher,ISBN
A Damsel in Distress,Very Good,7.09,P.G. Wodehouse,Createspace Independent Publishing Platform,1515064646
America the Beautiful: A Pop-up Book,Acceptable,6.49,,Little Simon,0689847440
"Three Novels : Uncle Tom's Cabin Or, Life Among the Lowly; The Minister's Wooing; Oldtown Folks",Good,9.59,Harriet Beecher Stowe,Library of America,0940450011
The Cricket on the Hearth,Very Good,5.79,Charles Dickens,Wildside,1434404102
Vinter-Eventyr,Good,4.99,Karen Blixen,Knopf Doubleday Publishing Group,0679743340
The Trail Driver,Good,5.79,Zane Grey,Skyhorse Publishing,1510701990
The Collected Stories,Acceptable,6.79,Dylan Thomas,Phoenix (an Imprint of the Orion Publishing G,1780227302
ll giardino dei Finzi-Contini,Good,5.39,Giorgio Bassani,Harpervia,0156345706
Sapphira and the Slave Girl,New,13.21,Willa Cather,Knopf Publishing Group,0307739651
Valley of Wild Horses,Good,6.39,Zane Grey,CreateSpace Independent Publishing Platform,1533292914
Love in Amsterdam,Good,5.59,Nicolas Freeling,Hanover Square Press,1335284818
The Complete Tales of Washington Irving,New,28.4,Charles Neider,Grand Central Publishing,0306808404
The Black Woman: An Anthology,Very Good,12.69,Toni (ed) Cade,Washington Square Press,0743476972
Romance of the Three Kingdoms Vol. I of II,New,20.73,Luo Guanzhong,Tuttle Publishing,0804834679
The Kraken Wakes,New,14.2,John Wyndham,Modern Library,0593450108
The Last Frontier,New,18.84,Alistair MacLean,HarperCollins,0008337403
Honey in the Horn,New,16.35,H.L. Davis,Oregon State University Press,0870717685
Doña Bárbara,Good,6.29,Rómulo Gallegos,University of Chicago Press,0226279200
Stowaway to the Mushroom Planet,Good,19.39,Eleanor Cameron,"Little, Brown Books for Young Readers",0316125415
Heidi et ses enfants,Good,43.79,Charles Tritten,Armada,0006915558
The Gospel Singer,New,15.12,Harry Crews,Penguin Publishing Group,0143135090
The Princess and the Goblin / Princess and Curdie,Acceptable,8.39,George MacDonald,"Oxford University Press, USA",0192825798
Voss,Good,10.79,Patrick White,Penguin Publishing Group,014310568X
The Master of Ballantrae: A Winter's Tale,Acceptable,35.19,Robert Louis Stevenson,Outlook Verlag,3752424966
Nazi Literature in the Americas,New,14.37,Roberto Bolaño,New Directions Publishing Corporation,0811217949
When the Sleeper Wakes,Good,8.79,H.G. Wells,Penguin Group,0141441062
August,Very Good,6.09,Judith Rossner,Houghton Mifflin,0395339707
Tarzan the Terrible,Good,17.49,Edgar Rice Burroughs,"Edgar Rice Burroughs, Inc.",1951537076
"Leaves of Gold: An Anthology of Prayers, Memorable Phrases, Inspirational Verse, and Prose (Gold Deluxe Edition)",Good,25.89,Clyde Francis Lytle,"Literary Licensing, LLC",1258443961
The Happy Prince,Acceptable,7.59,Oscar Wilde,Sleeping Bear Press,1585362646
The Loving Spirit,Good,6.59,Daphne du Maurier,Sourcebooks Landmark,1402220057
